page_id,route,route_name,surface_kind,backend_view,roles,templates,previous_test_reference,audit_execution_status
UI-PAGE-842FD09DD9,/accounts/batch-payments/,,page,apps.frontend.views.finance_operating_views.batch_payments_view,ACCOUNTANT | ADMIN,pages/accounts/batch_payments.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-8945C58AE9,/accounts/blocked,finance_blocked,page,apps.frontend.views.finance_operating_views.blocked_view,ACCOUNTANT | ADMIN,pages/accounts/blocked.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-0EBC809D63,/accounts/blocked/,,page,apps.frontend.views.finance_operating_views.blocked_view,ACCOUNTANT | ADMIN,pages/accounts/blocked.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A24A88B2AA,/accounts/budget-amendments,budget_amendments,page,apps.frontend.views.finance_operating_views.budget_amendments_view,ACCOUNTANT | ADMIN,pages/accounts/budget_amendments.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-03440D35AE,/accounts/budget-amendments/<str:amendment_id>/action,budget_amendment_action,action,apps.frontend.views.finance_operating_views.budget_amendment_action,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-0060445405,/accounts/cleared,finance_cleared,page,apps.frontend.views.finance_operating_views.cleared_view,ACCOUNTANT | ADMIN,pages/accounts/cleared.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-DFC27C1959,/accounts/cleared/,,page,apps.frontend.views.finance_operating_views.cleared_view,ACCOUNTANT | ADMIN,pages/accounts/cleared.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-28E4ACED6E,/accounts/monthly-request,finance_monthly_request,partial,apps.frontend.views.finance_operating_views.monthly_request_view,ACCOUNTANT | ADMIN | CD | IA | PROJECT_COORDINATOR | RVP,partials/finance/monthly_request/root.html | pages/accounts/monthly_request.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-09AA659966,/accounts/monthly-request/,,partial,apps.frontend.views.finance_operating_views.monthly_request_view,ACCOUNTANT | ADMIN | CD | IA | PROJECT_COORDINATOR | RVP,partials/finance/monthly_request/root.html | pages/accounts/monthly_request.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-F16EBA5781,/accounts/monthly-request/action,finance_monthly_request_action,partial,apps.frontend.views.finance_operating_views.monthly_request_action_view,ACCOUNTANT | ADMIN | CD | IA | PROJECT_COORDINATOR | RVP,partials/finance/monthly_request/root.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A2663A504E,/accounts/partner-invoices/<str:invoice_id>/download,partner_invoice_download,export,apps.frontend.views.finance_operating_views.partner_invoice_download,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-0EF5355047,/accounts/partner-invoices/<str:invoice_id>/pay,partner_invoice_pay,action,apps.frontend.views.finance_operating_views.partner_invoice_pay_action,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A30C35CB1E,/accounts/partner-payments,finance_partner_payments,page,apps.frontend.views.finance_operating_views.partner_payments_view,ACCOUNTANT | ADMIN,pages/accounts/partner_payments.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-B1C8BB3970,/accounts/partner-payments/,,page,apps.frontend.views.finance_operating_views.partner_payments_view,ACCOUNTANT | ADMIN,pages/accounts/partner_payments.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-4128F483BA,/accounts/partner-payments/<str:activity_id>/pay,finance_pay_partner,action,apps.frontend.views.finance_operating_views.pay_partner_action,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-1E6768AEE6,/accounts/reimbursements,finance_reimbursements,action,apps.frontend.views.finance_operating_views.reimbursements_view,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-D6E49D7E06,/accounts/reimbursements/,,action,apps.frontend.views.finance_operating_views.reimbursements_view,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-219CE2DFB9,/accounts/reimbursements/<str:claim_id>/pay,finance_pay_reimbursement,action,apps.frontend.views.finance_operating_views.pay_reimbursement_action,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-549C21262B,/accounts/returned,finance_returned,page,apps.frontend.views.finance_operating_views.returned_view,ACCOUNTANT | ADMIN,pages/accounts/returned.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A6286CD87F,/accounts/returned/,,page,apps.frontend.views.finance_operating_views.returned_view,ACCOUNTANT | ADMIN,pages/accounts/returned.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-791559C28C,/accounts/transport-payments/<str:payment_id>/pay,pay_transport,action,apps.frontend.views.finance_operating_views.pay_transport_action,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-3983B87730,/accounts/variance-review,finance_variance_review,page,apps.frontend.views.finance_operating_views.variance_review_view,ACCOUNTANT | ADMIN,pages/accounts/variance_review.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-EE25FEFDD0,/accounts/variance-review/,,page,apps.frontend.views.finance_operating_views.variance_review_view,ACCOUNTANT | ADMIN,pages/accounts/variance_review.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-6DBDFF8C4E,/accounts/weekly-requests,finance_weekly_requests,page,apps.frontend.views.finance_operating_views.weekly_requests_view,ACCOUNTANT | ADMIN,pages/accounts/weekly_requests.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-B19D738D84,/accounts/weekly-requests/,,page,apps.frontend.views.finance_operating_views.weekly_requests_view,ACCOUNTANT | ADMIN,pages/accounts/weekly_requests.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-8BB0A3532D,/actions/<str:action_id>/<str:transition>,action_transition,partial,apps.frontend.views.action_views.action_transition_view,ACCOUNTANT | ADMIN | BUSINESS_TRANSFORMATION | CCEO | CD | HR | IA | MFI_ADMIN | MFI_OFFICER | PARTNER | PL | PROJECT_COORDINATOR | RPL | RVP,partials/actions/table.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-0A80841654,/actions/mine,my_actions,partial,apps.frontend.views.action_views.my_actions_view,ACCOUNTANT | ADMIN | BUSINESS_TRANSFORMATION | CCEO | CD | HR | IA | MFI_ADMIN | MFI_OFFICER | PARTNER | PL | PROJECT_COORDINATOR | RPL | RVP,partials/actions/table.html | pages/actions/workspace.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-EF315695FE,/actions/sent,actions_sent,partial,apps.frontend.views.action_views.actions_sent_view,ADMIN | CD | IA | PL | RPL | RVP,partials/actions/table.html | pages/actions/workspace.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-4CDAC86216,/activities/<str:activity_id>,activity_detail_full,drawer,apps.frontend.views.my_plan_views.activity_detail_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/activity_detail_drawer.html | pages/my_plan/detail.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-C4062CB9FE,/activities/<str:activity_id>/attendance,attendance_upload_drawer,drawer,apps.frontend.views.my_plan_views.attendance_upload_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/attendance_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-F809591FF2,/activities/<str:activity_id>/attendance/action,attendance_upload_action,action,apps.frontend.views.my_plan_views.attendance_upload_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-749CB57A91,/activities/<str:activity_id>/closure,activity_closure_detail,page,apps.frontend.views.closure_views.activity_closure_detail_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,pages/closure/activity_closure_detail.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-5F87CAA95C,/activities/<str:activity_id>/closure/,,page,apps.frontend.views.closure_views.activity_closure_detail_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,pages/closure/activity_closure_detail.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-12D828B528,/activities/<str:activity_id>/closure/close,close_activity,action,apps.frontend.views.closure_views.close_activity_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-6089148B64,/activities/<str:activity_id>/complete,complete_activity_drawer,drawer,apps.frontend.views.my_plan_views.complete_activity_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/complete_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-370EF7938B,/activities/<str:activity_id>/complete/action,complete_activity_action,action,apps.frontend.views.my_plan_views.complete_activity_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-103AEF5887,/activities/<str:activity_id>/evidence,evidence_upload_drawer,drawer,apps.frontend.views.my_plan_views.evidence_upload_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/evidence_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-FCDBCAD3AE,/activities/<str:activity_id>/evidence/action,evidence_upload_action,action,apps.frontend.views.my_plan_views.evidence_upload_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-7D426C803E,/activities/<str:activity_id>/evidence/detail,evidence_packet,page,apps.frontend.views.my_plan_views.evidence_packet_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,pages/my_plan/evidence_packet.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-FCEE2736D1,/activities/<str:activity_id>/partner-ssa-complete,partner_ssa_completion_drawer,drawer,apps.frontend.views.my_plan_views.partner_ssa_completion_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/partner_ssa_completion_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-E3902C4B96,/activities/<str:activity_id>/partner-ssa-complete/action,partner_ssa_completion_action,action,apps.frontend.views.my_plan_views.partner_ssa_completion_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-4358248AFA,/activities/<str:activity_id>/reopen,reopen_activity,action,apps.frontend.views.closure_views.reopen_activity_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-07EA2F4E83,/activities/<str:activity_id>/salesforce-id,salesforce_id_drawer,drawer,apps.frontend.views.my_plan_views.salesforce_id_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/salesforce_id_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-3A0D34024C,/activities/<str:activity_id>/salesforce-id/action,salesforce_id_action,action,apps.frontend.views.my_plan_views.salesforce_id_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-468DC25FE4,/activities/<str:activity_id>/ssa-upload,ssa_evidence_upload_drawer,drawer,apps.frontend.views.my_plan_views.ssa_evidence_upload_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/ssa_upload_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-087E0CC83B,/activities/<str:activity_id>/ssa-upload/action,ssa_evidence_upload_action,action,apps.frontend.views.my_plan_views.ssa_evidence_upload_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-DC7C6A4D74,/activities/<str:activity_id>/start,start_activity_drawer,drawer,apps.frontend.views.my_plan_views.start_activity_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/start_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-317868B579,/activities/<str:activity_id>/start/action,start_activity_action,action,apps.frontend.views.my_plan_views.start_activity_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-0E38962C28,/activities/<str:activity_id>/submit,submit_for_review_drawer,drawer,apps.frontend.views.my_plan_views.submit_for_review_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/submit_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-B729FE2F78,/activities/<str:activity_id>/submit/action,submit_for_review_action,action,apps.frontend.views.my_plan_views.submit_for_review_action,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-3F3D66D665,/activities/<str:activity_id>/timeline,activity_timeline_drawer,drawer,apps.frontend.views.my_plan_views.activity_timeline_drawer_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PARTNER | PL | PROJECT_COORDINATOR,partials/my_plan/timeline_drawer.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-D28F5CE44D,/activities/<str:activity_id>/timeline,activity_timeline,page,apps.frontend.views.closure_views.activity_timeline_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,pages/closure/activity_timeline.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-3D8032E1C9,/activities/<str:activity_id>/timeline/,activity_timeline,page,apps.frontend.views.ia_views.activity_timeline_view,ADMIN,pages/ia/activity_timeline.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-9A4BA95E31,/activities/closure,closure_readiness,page,apps.frontend.views.closure_views.closure_readiness_queue_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,pages/closure/readiness_queue.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-90CD8CB5FA,/activities/closure/,,page,apps.frontend.views.closure_views.closure_readiness_queue_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,pages/closure/readiness_queue.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-066BC4C799,/activities/closure/blocked,blocked_closure,page,apps.frontend.views.closure_views.blocked_closure_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,pages/closure/blocked_closure.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-773AE497F1,/activities/closure/blocked/,,page,apps.frontend.views.closure_views.blocked_closure_view,ACCOUNTANT | ADMIN | CCEO | CD | IA | PL | PROJECT_COORDINATOR,pages/closure/blocked_closure.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-D963B414A9,/admin-ops/incidents,admin_incidents,page,apps.admin_ops.views.incidents_view,ADMIN,pages/admin_ops/incidents.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-06180AB33B,/admin-ops/incidents/<str:incident_id>,admin_incident_detail,page,apps.admin_ops.views.incident_detail_view,ADMIN,pages/admin_ops/incident_detail.html,coverage-review-required,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-B2C9E9652D,/admin-ops/incidents/<str:incident_id>/acknowledge,admin_acknowledge_incident,action,apps.admin_ops.views.acknowledge_incident_view,ADMIN,,coverage-review-required,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-E15AB1ACED,/admin-ops/incidents/<str:incident_id>/resolve,admin_resolve_incident,action,apps.admin_ops.views.resolve_incident_view,ADMIN,,coverage-review-required,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-F1190B252B,/admin-ops/maintenance,admin_maintenance,page,apps.admin_ops.views.maintenance_view,ADMIN,pages/admin_ops/maintenance.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-6816D23933,/admin-ops/my-plan,admin_my_plan,page,apps.admin_ops.views.admin_my_plan_view,ADMIN,pages/admin_ops/my_plan.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-34DFF5A7F8,/admin-ops/planning,admin_planning,page,apps.admin_ops.views.admin_planning_view,ADMIN,pages/admin_ops/planning.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-FB09C59B79,/admin-ops/support,admin_support_queue,page,apps.admin_ops.views.support_queue_view,ADMIN,pages/admin_ops/support_queue.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-7A4D5FCCB3,/admin-ops/team-plans,admin_team_plans,page,apps.admin_ops.views.team_plans_view,ADMIN,pages/admin_ops/team_plans.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-42D09463D8,/admin-ops/tickets/<str:ticket_id>/resolve,admin_resolve_ticket,action,apps.admin_ops.views.resolve_ticket_view,ADMIN,,coverage-review-required,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-493DF36051,/admin-ops/tickets/<str:ticket_id>/triage,admin_triage_ticket,action,apps.admin_ops.views.triage_ticket_view,ADMIN,,coverage-review-required,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-B9C87ACD12,/admin-ops/work-items/<str:item_id>/complete,admin_complete_work_item,action,apps.admin_ops.views.complete_work_item_view,ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-66BD8337BE,/admin-ops/work-items/<str:item_id>/schedule,admin_schedule_work_item,action,apps.admin_ops.views.schedule_work_item_view,ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A7604B6C4D,/admin-ops/work-items/<str:item_id>/start,admin_start_work_item,action,apps.admin_ops.views.start_work_item_view,ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-FB1C4EF910,/admin-panel,admin_panel,page,apps.frontend.views.extended_views.admin_panel_view,ADMIN,pages/admin/index.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A4ED9D0F21,/admin-panel/audit-log,audit_log,page,apps.frontend.views.extended_views.audit_log_view,ADMIN,pages/admin/audit_log.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-BFFF48835B,/admin-panel/data-quality-center,admin_data_quality_center,page,apps.frontend.views.extended_views.admin_data_quality_center_view,ADMIN | IA,pages/admin/data_quality_center.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A79A9C56D9,/admin-panel/notifications-mgmt,admin_notifications_mgmt,page,apps.frontend.views.extended_views.admin_notifications_mgmt_view,ADMIN,pages/admin/notifications_mgmt.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-66E337164F,/admin-panel/page-access-matrix,admin_page_access_matrix,page,apps.frontend.views.extended_views.admin_page_access_matrix_view,ADMIN,pages/admin/page_access_matrix.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-1E3D9DE8A8,/admin-panel/region-district-setup,admin_region_district_setup,page,apps.frontend.views.extended_views.admin_region_district_setup_view,ADMIN,pages/admin/region_district_setup.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-38914F73C2,/admin-panel/roles-permissions,admin_roles_permissions,page,apps.frontend.views.extended_views.admin_roles_permissions_view,ADMIN,pages/admin/roles_permissions.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-0529F1E7E7,/admin-panel/school-upload-history,admin_school_upload_history,page,apps.frontend.views.extended_views.admin_school_upload_history_view,ADMIN | IA,pages/admin/school_upload_history.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-F016E31E19,/admin-panel/staff-setup-queue,admin_staff_setup_queue,page,apps.frontend.views.extended_views.admin_staff_setup_queue_view,ADMIN | CD | HR,pages/admin/staff_setup_queue.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-9D4E8D9905,/admin-panel/users,admin_users,page,apps.frontend.views.extended_views.admin_users_view,ADMIN | CD | HR,pages/admin/users.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
