control_id,template,line,kind,tag,label_or_expression,element_id,name,type,destination_or_expression,form_action,form_method,handlers,explicit_disabled,review_candidates,functional_status
CONTROL-00020,templates/components/input.html,28,field,input,{{ placeholder }},id_{{ name }},{{ name }},{{ type|default:'text' }},,,,{},False,,Not individually executed
CONTROL-00021,templates/components/mobile_agenda_card.html,20,link,a,,,,,                                      ,,,{},False,,Not individually executed
CONTROL-00022,templates/components/mobile_bottom_nav.html,38,link,a,{{ item.icon|safe }} {{ item.label }} 0 pending uploads {{ unread_messages_count }} unread messages,,,,{{ item.url }},,,{},False,,Not individually executed
CONTROL-00023,templates/components/mobile_bottom_nav.html,78,button,button,More {{ unread_notifications_count }} unread notifications,,,button,,,,"{""@click"": ""sidebarOpen = true; $nextTick(() => $refs.mobileSidebarClose?.focus())""}",False,,Not individually executed
CONTROL-00024,templates/components/mobile_filter_sheet.html,18,button,button,"{{ filter_label|default:""Filters"" }} {{ active_filter_count }}",,,button,,,,{},False,,Not individually executed
CONTROL-00025,templates/components/mobile_filter_sheet.html,47,button,button,"Close {{ filter_label|default:""filters"" }}",,,button,,,,{},False,,Not individually executed
CONTROL-00026,templates/components/mobile_role_home.html,19,link,a,{{ primary_action.label }},,,,{{ primary_action.url }},,,{},False,,Not individually executed
CONTROL-00027,templates/components/registered_card.html,46,link,a,View all {{ card.title }} →,,,,{{ card.drilldown_url }},,,{},False,,Not individually executed
CONTROL-00028,templates/components/registered_card_header.html,23,link,a,View all {{ card.title }} →,,,,{{ card.drilldown_url }},,,{},False,,Not individually executed
CONTROL-00029,templates/components/sidebar.html,34,link,a,{{ item.label }},,,,{{ item.url }},,,{},False,,Not individually executed
CONTROL-00030,templates/components/sidebar.html,66,button,button,Settings,,,button,,,,"{""@click"": ""settingsOpen = !settingsOpen""}",False,,Not individually executed
CONTROL-00031,templates/components/sidebar.html,84,button,button,System,,,button,,,,"{""@click"": ""$store.theme.setTheme('system')""}",False,,Not individually executed
CONTROL-00032,templates/components/sidebar.html,88,button,button,Light,,,button,,,,"{""@click"": ""$store.theme.setTheme('light')""}",False,,Not individually executed
CONTROL-00033,templates/components/sidebar.html,92,button,button,Edify Blue,,,button,,,,"{""@click"": ""$store.theme.setTheme('blue')""}",False,,Not individually executed
CONTROL-00034,templates/components/sidebar.html,96,button,button,Night black,,,button,,,,"{""@click"": ""$store.theme.setTheme('dark')""}",False,,Not individually executed
CONTROL-00035,templates/components/sidebar.html,104,button,button,Collapse sidebar,,,button,,,,"{""@click"": ""collapsed = !collapsed; settingsOpen = false; try { localStorage.setItem('edify-sidebar-collapsed', collapsed ? '1' : '0') } catch (e) {}""}",False,,Not individually executed
CONTROL-00036,templates/components/sidebar.html,116,link,a,All settings,,,,/settings,,,{},False,,Not individually executed
CONTROL-00037,templates/components/sidebar.html,117,link,a,My profile,,,,/profile,,,{},False,,Not individually executed
CONTROL-00038,templates/components/sidebar.html,118,link,a,Change password,,,,/change-password,,,{},False,,Not individually executed
CONTROL-00039,templates/components/sidebar.html,119,link,a,Notification centre,,,,/notifications,,,{},False,,Not individually executed
CONTROL-00040,templates/components/table_pager.html,21,link,a,Previous page,,,,?{{ base }}{{ param }}={{ pager.previous_page }},,,{},False,,Not individually executed
CONTROL-00041,templates/components/table_pager.html,34,link,a,Page {{ p }},,,,?{{ base }}{{ param }}={{ p }},,,{},False,,Not individually executed
CONTROL-00042,templates/components/table_pager.html,39,link,a,Next page,,,,?{{ base }}{{ param }}={{ pager.next_page }},,,{},False,,Not individually executed
CONTROL-00043,templates/layouts/shell.html,6,link,a,Skip to main content,,,,#main-content,,,{},False,,Not individually executed
CONTROL-00044,templates/layouts/shell.html,50,button,button,Close sidebar,,,button,,,,"{""@click"": ""sidebarOpen = false; $nextTick(() => ($refs.mobileSidebarOpen || document.querySelector('[data-mobile-nav-more]'))?.focus())""}",False,,Not individually executed
CONTROL-00045,templates/layouts/shell.html,94,button,button,Go back,,,button,,,,{},False,,Not individually executed
CONTROL-00046,templates/layouts/shell.html,97,button,button,Go forward,,,button,,,,{},False,,Not individually executed
CONTROL-00047,templates/layouts/shell.html,100,button,button,Refresh this page,,,button,,,,{},False,,Not individually executed
CONTROL-00048,templates/layouts/shell.html,112,button,button,Open sidebar,,,button,,,,"{""@click"": ""sidebarOpen = true; $nextTick(() => $refs.mobileSidebarClose?.focus())""}",False,,Not individually executed
CONTROL-00049,templates/layouts/shell.html,165,field,input,"{{ topbar_search.placeholder|default:'Search schools, staff, districts…' }}",{{ topbar_search.input_id|default:'page-search-input' }},{{ topbar_search.name|default:'q' }},search,,,,"{""@input.debounce.300ms"": ""$el.form ? $el.form.requestSubmit() : null""}",False,,Not individually executed
CONTROL-00050,templates/layouts/shell.html,176,button,button,Search,,,submit,,,,{},False,,Not individually executed
CONTROL-00051,templates/layouts/shell.html,206,field,input,"{{ topbar_search.placeholder|default:'Search schools, staff, districts…' }}",{{ topbar_search.input_id|default:'page-search-input' }},{{ topbar_search.name|default:'q' }},search,,{{ topbar_search.action|default:'/search' }},{{ topbar_search.method|default:'get' }},"{""@input"": ""const page = document.getElementById('filters-page-input'); if (page) page.value = '1'""}",False,,Not individually executed
CONTROL-00052,templates/layouts/shell.html,216,button,button,Search,,,submit,,{{ topbar_search.action|default:'/search' }},{{ topbar_search.method|default:'get' }},{},False,,Not individually executed
CONTROL-00053,templates/layouts/shell.html,224,field,input,"Search schools, staff, districts...",global-search-input,q,search,,/search,get,"{""@input"": ""const page = document.getElementById('filters-page-input'); if (page) page.value = '1'""}",False,,Not individually executed
CONTROL-00054,templates/layouts/shell.html,234,button,button,Search,,,submit,,/search,get,{},False,,Not individually executed
CONTROL-00055,templates/layouts/shell.html,251,button,button,Messages,,,,/messages/drawer,,,"{""hx-get"": ""/messages/drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Browser: RPL messages drawer opened with empty state; no message sent.
CONTROL-00056,templates/layouts/shell.html,267,button,button,Notifications,,,,/notifications/drawer,,,"{""hx-get"": ""/notifications/drawer"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Browser: RPL notifications drawer opened and closed with empty state.
CONTROL-00057,templates/layouts/shell.html,289,link,a,Help for this page,,,,/help/context?for={{ request.path|urlencode }},,,{},False,,Not individually executed
CONTROL-00058,templates/layouts/shell.html,306,link,a,Report a problem with this page,,,,/support?route={{ request.path|urlencode }},,,{},False,,Not individually executed
CONTROL-00059,templates/layouts/shell.html,318,button,button,,,,button,,,,"{""@click"": ""$store.theme.toggleNight()""}",False,No static label; check rendered accessible name,Not individually executed
CONTROL-00060,templates/layouts/shell.html,336,button,button,Account menu,,,button,,,,"{""@click"": ""open = !open""}",False,,Browser: RPL account menu opened and logout completed.
CONTROL-00061,templates/layouts/shell.html,365,button,button,{{ r.value }},,,submit,,/auth/switch-role,post,{},False,,Not individually executed
CONTROL-00062,templates/layouts/shell.html,377,link,a,Help for this page,,,,/help/context?for={{ request.path|urlencode }},,,{},False,,Not individually executed
CONTROL-00063,templates/layouts/shell.html,378,link,a,Report a problem,,,,/support?route={{ request.path|urlencode }},,,{},False,,Not individually executed
CONTROL-00064,templates/layouts/shell.html,380,link,a,My Profile,,,,/profile,,,{},False,,Not individually executed
CONTROL-00065,templates/layouts/shell.html,396,button,button,Install app,,,button,,,,"{""@click"": ""install()""}",False,,Not individually executed
CONTROL-00066,templates/layouts/shell.html,414,button,button,Log out,,,submit,,/logout,post,{},False,,Not individually executed
CONTROL-00067,templates/pages/accounts/accountability.html,102,button,button,Enter NetSuite ID,,,button,,,,"{""@click"": ""netsuiteOpen = true; selectedAct = '{{ rec.activity.id }}'; budgetSum = {{ rec.actual_spend }}""}",False,,Not individually executed
CONTROL-00068,templates/pages/accounts/accountability.html,109,link,a,View activity finance detail,,,,/accounts/activities/{{ rec.activity.id }}/,,,{},False,,Not individually executed
CONTROL-00069,templates/pages/accounts/accountability.html,142,button,button,Close,,,,,,,"{""@click"": ""netsuiteOpen = false""}",False,,Not individually executed
CONTROL-00070,templates/pages/accounts/accountability.html,152,field,input,e.g. EXP-2200115,,netsuite_expense_id,text,,,POST,{},False,,Not individually executed
CONTROL-00071,templates/pages/accounts/accountability.html,163,field,input,Amount entered,,amount_entered,number,,,POST,{},False,,Not individually executed
CONTROL-00072,templates/pages/accounts/accountability.html,174,field,input,Expense date,,expense_date,date,,,POST,{},False,,Not individually executed
CONTROL-00073,templates/pages/accounts/accountability.html,185,field,textarea,Reconciled successfully...,,notes,,,,POST,{},False,,Not individually executed
CONTROL-00074,templates/pages/accounts/accountability.html,195,button,button,Clear Accountability,,,submit,,,,{},False,,Not individually executed
CONTROL-00075,templates/pages/accounts/accountability.html,202,button,button,Cancel,,,button,,,,"{""@click"": ""netsuiteOpen = false""}",False,,Not individually executed
CONTROL-00076,templates/pages/accounts/activity_evidence.html,59,link,a,View Inline,,,,/api/evidence/{{ ev.id }}/file,,,{},False,,Not individually executed
CONTROL-00077,templates/pages/accounts/activity_evidence.html,63,link,a,Download File,,,,/api/evidence/{{ ev.id }}/file?download=1,,,{},False,,Not individually executed
CONTROL-00078,templates/pages/accounts/activity_finance_detail.html,18,link,a,Discuss,,,,/messages?context_type=accountant_disbursement&context_id={{ act.id }},,,{},False,,Not individually executed
CONTROL-00079,templates/pages/accounts/activity_finance_detail.html,180,field,input,e.g. EXP-2026-99,,netsuite_expense_id,text,,/accounts/activities/{{ act.id }}/netsuite-id,POST,{},False,,Not individually executed
CONTROL-00080,templates/pages/accounts/activity_finance_detail.html,191,field,input,Expense date,,expense_date,date,,/accounts/activities/{{ act.id }}/netsuite-id,POST,{},False,,Not individually executed
CONTROL-00081,templates/pages/accounts/activity_finance_detail.html,201,field,input,Amount entered,,amount_entered,number,,/accounts/activities/{{ act.id }}/netsuite-id,POST,{},False,,Not individually executed
CONTROL-00082,templates/pages/accounts/activity_finance_detail.html,210,button,button,Save & Reconcile ID,,,submit,,/accounts/activities/{{ act.id }}/netsuite-id,POST,{},False,,Not individually executed
CONTROL-00083,templates/pages/accounts/approval_history.html,84,link,a,Review Request,,,,/accounts/weekly-requests/,,,{},False,,Not individually executed
CONTROL-00084,templates/pages/accounts/audit_log.html,49,link,a,"#{{ log.activity.id|slice:"":8"" }}",,,,/accounts/activities/{{ log.activity.id }}/,,,{},False,,Not individually executed
CONTROL-00085,templates/pages/accounts/batch_payments.html,26,tab,button,Advances ({{ advances|length }}),batch-tab-advances,,button,,,,"{""@click"": ""setTab('advances')""}",False,,Finance browser: default Advances panel rendered; separate tab-click return not executed.
CONTROL-00086,templates/pages/accounts/batch_payments.html,34,tab,button,Partner Payments ({{ partners|length }}),batch-tab-partners,,button,,,,"{""@click"": ""setTab('partners')""}",False,,Finance browser: clicking Partner Payments opened the matching panel.
CONTROL-00087,templates/pages/accounts/batch_payments.html,50,link,a,Export Advances CSV,,,,?export=advances,,,{},False,,Not individually executed
CONTROL-00088,templates/pages/accounts/batch_payments.html,56,field,input,Select advance {{ act.id|slice:':8' }},,,checkbox,,,,{},False,No submitted name or direct model; check JS binding,F-01: source and isolated export reproduction confirm selected IDs ignored; no eligible advances in live fixture.
CONTROL-00089,templates/pages/accounts/batch_payments.html,74,link,a,Export Partner Payments CSV,,,,?export=partners,,,{},False,,F-01: browser export link unchanged after selection; isolated export reproduction confirmed all rows included. No live download.
CONTROL-00090,templates/pages/accounts/batch_payments.html,80,field,input,Select Partner payment {{ act.id|slice:':8' }},,,checkbox,,,,{},False,No submitted name or direct model; check JS binding,"F-01: browser checkbox selected; export binding absent, confirmed by isolated reproduction."
CONTROL-00091,templates/pages/accounts/blocked.html,87,link,a,Inspect,,,,/accounts/activities/{{ item.activity.id }}/,,,{},False,,Not individually executed
CONTROL-00092,templates/pages/accounts/budget_amendments.html,51,field,input,Review note (optional),,note,text,,                                                         ,POST,{},False,,Not individually executed
CONTROL-00093,templates/pages/accounts/budget_amendments.html,53,button,button,Approve & Apply,,action,submit,,                                                         ,POST,{},False,,Not individually executed
CONTROL-00094,templates/pages/accounts/budget_amendments.html,54,button,button,Return,,action,submit,,                                                         ,POST,{},False,,Not individually executed
CONTROL-00095,templates/pages/accounts/budget_amendments.html,55,button,button,Reject,,action,submit,,                                                         ,POST,{},False,,Not individually executed
CONTROL-00096,templates/pages/accounts/cleared.html,91,link,a,Inspect,,,,/accounts/activities/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00097,templates/pages/accounts/monthly_request.html,14,link,a,Open General Budget,,,,/country-budget/,,,{},False,,Not individually executed
CONTROL-00098,templates/pages/accounts/partner_payments.html,93,link,a,Download Invoice,,,,/accounts/partner-invoices/{{ inv.id }}/download,,,{},False,,Not individually executed
CONTROL-00099,templates/pages/accounts/partner_payments.html,97,field,input,Payment reference,,payment_reference,,,/accounts/partner-invoices/{{ inv.id }}/pay,POST,{},False,,Not individually executed
CONTROL-00100,templates/pages/accounts/partner_payments.html,98,field,select,Payment method,,payment_method,,,/accounts/partner-invoices/{{ inv.id }}/pay,POST,{},False,,Not individually executed
CONTROL-00101,templates/pages/accounts/partner_payments.html,101,button,button,Pay Partner,,,submit,,/accounts/partner-invoices/{{ inv.id }}/pay,POST,{},False,,Not individually executed
CONTROL-00102,templates/pages/accounts/partner_payments.html,160,button,button,Pay 50% Advance,,,button,,,,"{""@click"": ""openPayment($event, '{{ act.id }}', '{{ act.assigned_partner_id|escapejs }}', {{ act.mou_advance|default:0 }}, 'advance', '50% MOU Advance')""}",False,,Not individually executed
CONTROL-00103,templates/pages/accounts/partner_payments.html,244,button,button,Clear Balance,,,button,,,,"{""@click"": ""openPayment($event, '{{ act.id }}', '{{ act.assigned_partner_id|escapejs }}', {{ act.balance_due|default:0 }}, 'clearance', 'Clearance')""}",False,,Not individually executed
CONTROL-00104,templates/pages/accounts/partner_payments.html,251,link,a,View activity finance detail,,,,/accounts/activities/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00105,templates/pages/accounts/partner_payments.html,291,button,button,Close,,,button,,,,"{""@click"": ""closePayment()""}",False,,Not individually executed
CONTROL-00106,templates/pages/accounts/partner_payments.html,302,field,input,Partner name,partner-payment-name,partner_name,text,,,POST,{},False,,Not individually executed
CONTROL-00107,templates/pages/accounts/partner_payments.html,314,field,input,Amount paid,partner-payment-amount,amount_paid,number,,,POST,{},False,,Not individually executed
CONTROL-00108,templates/pages/accounts/partner_payments.html,326,field,select,{{ m }},partner-payment-method,payment_method,,,,POST,{},False,,Not individually executed
CONTROL-00109,templates/pages/accounts/partner_payments.html,335,field,input,e.g. EFT-1100223,partner-payment-reference,payment_reference,text,,,POST,{},False,,Not individually executed
CONTROL-00110,templates/pages/accounts/partner_payments.html,347,field,textarea,Internal comments...,partner-payment-notes,notes,,,,POST,{},False,,Not individually executed
CONTROL-00111,templates/pages/accounts/partner_payments.html,358,button,button,Confirm Payment,,,submit,,,,{},False,,Not individually executed
CONTROL-00112,templates/pages/accounts/partner_payments.html,365,button,button,Cancel,,,button,,,,"{""@click"": ""closePayment()""}",False,,Not individually executed
CONTROL-00113,templates/pages/accounts/ready_for_advance.html,105,button,button,Process Advance,,,button,,,,"{""@click"": ""openDisbursement($event, '{{ act.id }}', {{ act.est_cost_cents|default:0 }})""}",False,,Not individually executed
CONTROL-00114,templates/pages/accounts/ready_for_advance.html,112,link,a,View activity finance detail,,,,/accounts/activities/{{ act.id }}/,,,{},False,,Not individually executed
CONTROL-00115,templates/pages/accounts/ready_for_advance.html,151,button,button,Close,,,button,,,,"{""@click"": ""closeDisbursement()""}",False,,Not individually executed
CONTROL-00116,templates/pages/accounts/ready_for_advance.html,167,field,input,Amount disbursed,disburse-amount,amount_disbursed,number,,,POST,{},False,,Not individually executed
CONTROL-00117,templates/pages/accounts/ready_for_advance.html,179,field,input,Disbursed at,disburse-date,disbursed_at,date,,,POST,{},False,,Not individually executed
CONTROL-00118,templates/pages/accounts/ready_for_advance.html,191,field,select,{{ m }},disburse-method,payment_method,,,,POST,{},False,,Not individually executed
CONTROL-00119,templates/pages/accounts/ready_for_advance.html,200,field,input,e.g. TXN-9988112,disburse-reference,payment_reference,text,,,POST,{},False,,Not individually executed
CONTROL-00120,templates/pages/accounts/ready_for_advance.html,212,field,textarea,Internal comments...,disburse-notes,notes,,,,POST,{},False,,Not individually executed
CONTROL-00121,templates/pages/accounts/ready_for_advance.html,223,button,button,Confirm Disbursement,,,submit,,,,{},False,,Not individually executed
CONTROL-00122,templates/pages/accounts/ready_for_advance.html,230,button,button,Cancel,,,button,,,,"{""@click"": ""closeDisbursement()""}",False,,Not individually executed
CONTROL-00123,templates/pages/accounts/returned.html,78,link,a,Inspect,,,,/accounts/activities/{{ item.activity.id }}/,,,{},False,,Not individually executed
CONTROL-00124,templates/pages/accounts/variance_review.html,81,link,a,Reconcile,,,,/accounts/activities/{{ item.activity.id }}/,,,{},False,,Not individually executed
CONTROL-00125,templates/pages/accounts/weekly_requests.html,74,link,a,Clear Advances,,,,/accounts/advances/,,,{},False,,Not individually executed
CONTROL-00126,templates/pages/admin/data_quality_center.html,32,link,a,Open setup queue →,,,,/admin-panel/staff-setup-queue,,,{},False,,Not individually executed
CONTROL-00127,templates/pages/admin/data_quality_center.html,39,link,a,Open school directory →,,,,/schools?filter=unclustered,,,{},False,,Not individually executed
CONTROL-00128,templates/pages/admin/data_quality_center.html,46,link,a,Open duplicate review →,,,,/data-quality/duplicates,,,{},False,,Not individually executed
CONTROL-00129,templates/pages/admin/data_quality_center.html,58,link,a,Open unmatched queue →,,,,/ssa/unmatched,,,{},False,,Not individually executed
CONTROL-00130,templates/pages/admin/duplicate_review.html,49,button,button,Mark as Unique,,,submit,,,post,{},False,,Not individually executed
CONTROL-00131,templates/pages/admin/index.html,23,link,a,Add User,,,,/admin-panel/users,,,{},False,,Not individually executed
CONTROL-00132,templates/pages/admin/index.html,32,link,a,Review Staff Queue,,,,/admin-panel/staff-setup-queue,,,{},False,,Not individually executed
CONTROL-00133,templates/pages/admin/index.html,81,link,a,Pending Unmatched Staff,,,,/admin-panel/staff-setup-queue,,,{},False,,Not individually executed
CONTROL-00134,templates/pages/admin/index.html,85,link,a,Scanner Quality Center,,,,/admin-panel/data-quality-center,,,{},False,,Not individually executed
CONTROL-00135,templates/pages/admin/index.html,104,link,a,Active Workflow Rules,,,,/admin-panel/workflow-rules,,,{},False,,Not individually executed
CONTROL-00136,templates/pages/admin/index.html,108,link,a,Integrity System Health,,,,/system-health,,,{},False,,Not individually executed
CONTROL-00137,templates/pages/admin/index.html,128,link,a,"Roles & Permissions Manage feature gates, permission matrices, and user access levels",,,,/admin-panel/roles-permissions,,,{},False,,Not individually executed
CONTROL-00138,templates/pages/admin/index.html,141,link,a,Page Access Matrix Verify role-specific route parameters and security groups,,,,/admin-panel/page-access-matrix,,,{},False,,Not individually executed
CONTROL-00139,templates/pages/admin/index.html,154,link,a,School Upload History Audit school and SSA file batch imports with rollback triggers,,,,/admin-panel/school-upload-history,,,{},False,,Not individually executed
CONTROL-00140,templates/pages/admin/index.html,167,link,a,"District & Region Setup Define geographical coordinates, regions, and regional bounds",,,,/admin-panel/region-district-setup,,,{},False,,Not individually executed
CONTROL-00141,templates/pages/admin/index.html,232,link,a,View System Audit Trail,,,,/admin-panel/audit-log,,,{},False,,Not individually executed
CONTROL-00142,templates/pages/admin/notifications_mgmt.html,72,button,button,Resend Alert,,,submit,,/admin/notifications-mgmt,post,{},False,,Not individually executed
CONTROL-00143,templates/pages/admin/region_district_setup.html,52,field,select,District type,,district_type,,,,post,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-00144,templates/pages/admin/region_district_setup.html,81,field,input,e.g. Kitgum Secondary Route,,group_name,text,,,post,{},False,,Not individually executed
CONTROL-00145,templates/pages/admin/region_district_setup.html,82,button,button,Create Group,,,submit,,,post,{},False,,Not individually executed
CONTROL-00146,templates/pages/admin/region_district_setup.html,99,button,button,Approve,,,submit,,,post,{},False,,Not individually executed
CONTROL-00147,templates/pages/admin/region_district_setup.html,112,button,button,×,,,submit,,,post,{},False,,Not individually executed
CONTROL-00148,templates/pages/admin/region_district_setup.html,123,field,select,District ID,,district_id,,,,post,{},False,,Not individually executed
CONTROL-00149,templates/pages/admin/region_district_setup.html,129,button,button,Add,,,submit,,,post,{},False,,Not individually executed
CONTROL-00150,templates/pages/admin/region_district_setup.html,149,field,input,e.g. Mukono,,district_name,text,,/admin/region-district-setup,post,{},False,,Not individually executed
CONTROL-00151,templates/pages/admin/region_district_setup.html,160,field,select,Region ID,,region_id,,,/admin/region-district-setup,post,{},False,,Not individually executed
CONTROL-00152,templates/pages/admin/region_district_setup.html,172,button,button,Create District,,,submit,,/admin/region-district-setup,post,{},False,,Not individually executed
CONTROL-00153,templates/pages/admin/staff_setup_queue.html,53,field,select,Staff ID,,staff_id,,,/admin/staff-setup-queue,post,{},False,,Not individually executed
CONTROL-00154,templates/pages/admin/staff_setup_queue.html,65,button,button,Match,,,submit,,,,{},False,,Not individually executed
CONTROL-00155,templates/pages/admin/staff_setup_queue.html,76,button,button,Ignore,,,submit,,/admin/staff-setup-queue,post,{},False,,Not individually executed
CONTROL-00156,templates/pages/admin/unmatched_ssa_queue.html,28,field,select,Status,,status,,,,get,{},False,,Not individually executed
CONTROL-00157,templates/pages/admin/unmatched_ssa_queue.html,38,field,select,Batch,,batch,,,,get,{},False,,Not individually executed
CONTROL-00158,templates/pages/admin/unmatched_ssa_queue.html,47,field,input,Contains…,,district,text,,,get,{},False,,Not individually executed
CONTROL-00159,templates/pages/admin/unmatched_ssa_queue.html,51,field,input,Contains…,,school_id,text,,,get,{},False,,Not individually executed
CONTROL-00160,templates/pages/admin/unmatched_ssa_queue.html,55,field,input,0.00–1.00,,min_confidence,number,,,get,{},False,,Not individually executed
CONTROL-00161,templates/pages/admin/unmatched_ssa_queue.html,59,field,input,Date from,,date_from,date,,,get,{},False,,Not individually executed
CONTROL-00162,templates/pages/admin/unmatched_ssa_queue.html,63,field,input,Date to,,date_to,date,,,get,{},False,,Not individually executed
CONTROL-00163,templates/pages/admin/unmatched_ssa_queue.html,66,button,button,Apply Filters,,,submit,,,get,{},False,,Not individually executed
CONTROL-00164,templates/pages/admin/unmatched_ssa_queue.html,67,link,a,Clear,,,,?,,get,{},False,,Not individually executed
CONTROL-00165,templates/pages/admin/unmatched_ssa_queue.html,123,field,select,School ID,,school_id,,,,post,{},False,,Not individually executed
CONTROL-00166,templates/pages/admin/unmatched_ssa_queue.html,130,button,button,Link,,,submit,,,post,{},False,,Not individually executed
CONTROL-00167,templates/pages/admin/unmatched_ssa_queue.html,140,button,button,Create School,,,submit,,,post,{},False,,Not individually executed
CONTROL-00168,templates/pages/admin/unmatched_ssa_queue.html,151,button,button,Hold,,,submit,,,post,{},False,,Not individually executed
CONTROL-00169,templates/pages/admin/unmatched_ssa_queue.html,162,button,button,Ignore,,,submit,,,post,{},False,,Not individually executed
CONTROL-00170,templates/pages/admin/unmatched_ssa_queue.html,188,link,a,← Prev,,,,?page={{ records_page.previous_page_number }}                                         &{{ k }}={{ v }}                       ,,,{},False,,Not individually executed
CONTROL-00171,templates/pages/admin/unmatched_ssa_queue.html,191,link,a,Next →,,,,?page={{ records_page.next_page_number }}                                         &{{ k }}={{ v }}                       ,,,{},False,,Not individually executed
CONTROL-00172,templates/pages/admin/user_detail.html,13,link,a,User Management,,,,                                ,,,{},False,,Not individually executed
CONTROL-00173,templates/pages/admin/user_detail.html,83,field,input,Name,,name,text,,                                                ,POST,{},False,,Not individually executed
CONTROL-00174,templates/pages/admin/user_detail.html,94,field,input,Email,,email,email,,                                                ,POST,{},False,,Not individually executed
CONTROL-00175,templates/pages/admin/user_detail.html,106,field,input,+256...,,phone,text,,                                                ,POST,{},False,,Not individually executed
CONTROL-00176,templates/pages/admin/user_detail.html,119,field,select,Role,,role,,,                                                ,POST,{},False,,Not individually executed
